#SampleID	BarcodeSequence	LinkerPrimerSequence	InputFileName	IlluminaID	SortOrder	Sample	Mouse	OriginCage	SampleTime	Duplicate	Donor	DonorDiet	DonorActivity	Description	DuplicatedSample
92.pre			92_pre.fna	47	999	92_pre	92	cage_6A	pre	No	HF_Sed	HF	Sed	92_pre	not_duplicated
93.post			93_post.fna	50	38	93_post	93	cage_5	post	No	HF_Ex	HF	Ex	93_post	not_duplicated
93.pre			93_pre.fna	49	999	93_pre	93	cage_5	pre	No	HF_Ex	HF	Ex	93_pre	not_duplicated
94.post			94_post.fna	52	6	94_post	94	cage_6B	post	No	NC_Sed	NC	Sed	94_post	not_duplicated
94.pre			94_pre.fna	51	999	94_pre	94	cage_6B	pre	No	NC_Sed	NC	Sed	94_pre	not_duplicated
95.post			95_post.fna	54	15	95_post	95	cage_7	post	No	NC_Ex	NC	Ex	95_post	not_duplicated
95.pre			95_pre.fna	53	999	95_pre	95	cage_7	pre	No	NC_Ex	NC	Ex	95_pre	not_duplicated
96.post			96_post.fna	56	7	96_post	96	cage_6B	post	No	NC_Sed	NC	Sed	96_post	not_duplicated
96.pre			96_pre.fna	55	999	96_pre	96	cage_6B	pre	No	NC_Sed	NC	Sed	96_pre	not_duplicated
97.post			97_post.fna	58	16	97_post	97	cage_7	post	No	NC_Ex	NC	Ex	97_post	97_post
97.post.dup			97_post_dup.fna	78	21	97_post_dup	97	cage_7	post	Yes	NC_Ex	NC	Ex	97_post_dup	97_post
97.pre			97_pre.fna	57	999	97_pre	97	cage_7	pre	No	NC_Ex	NC	Ex	97_pre	97_pre
97.pre.dup			97_pre_dup.fna	77	999	97_pre_dup	97	cage_7	pre	Yes	NC_Ex	NC	Ex	97_pre_dup	97_pre
98.post			98_post.fna	60	39	98_post	98	cage_5	post	No	HF_Ex	HF	Ex	98_post	not_duplicated
98.pre			98_pre.fna	59	999	98_pre	98	cage_5	pre	No	HF_Ex	HF	Ex	98_pre	not_duplicated
99.post			99_post.fna	62	30	99_post	99	cage_6A	post	No	HF_Sed	HF	Sed	99_post	not_duplicated
99.pre			99_pre.fna	61	999	99_pre	99	cage_6A	pre	No	HF_Sed	HF	Sed	99_pre	not_duplicated
100.post			100_post.fna	64	17	100_post	100	cage_7	post	No	NC_Ex	NC	Ex	100_post	100_post
100.post.dup			100_post_dup.fna	80	22	100_post_dup	100	cage_7	post	Yes	NC_Ex	NC	Ex	100_post_dup	100_post
100.pre			100_pre.fna	63	999	100_pre	100	cage_7	pre	No	NC_Ex	NC	Ex	100_pre	100_pre
100.pre.dup			100_pre_dup.fna	79	999	100_pre_dup	100	cage_7	pre	Yes	NC_Ex	NC	Ex	100_pre_dup	100_pre
101.post			101_post.fna	66	18	101_post	101	cage_7	post	No	NC_Ex	NC	Ex	101_post	not_duplicated
101.pre			101_pre.fna	65	999	101_pre	101	cage_7	pre	No	NC_Ex	NC	Ex	101_pre	not_duplicated
102.post			102_post.fna	68	40	102_post	102	cage_5	post	No	HF_Ex	HF	Ex	102_post	not_duplicated
102.pre			102_pre.fna	67	999	102_pre	102	cage_5	pre	No	HF_Ex	HF	Ex	102_pre	not_duplicated
